eruptions,waiting,new_cat_col
3.6,Unknown,notthistime
1.8,54,notthistime
3.333,74,notthistime
2.283,62,notthistime
4.533,85,notthistime
2.883,55,notthistime
4.7,88,notthistime
3.6,85,notthistime
1.95,51,notthistime
4.35,85,notthistime
1.833,54,notthistime
3.917,84,notthistime
4.2,78,notthistime
1.75,47,notthistime
4.7,83,notthistime
2.167,52,notthistime
1.75,62,notthistime
4.8,84,notthistime
1.6,52,notthistime
4.25,79,notthistime
1.8,51,thistime
1.75,47,thistime
3.45,78,thistime
3.067,69,thistime
4.533,74,thistime
3.6,83,thistime
1.967,55,thistime
4.083,76,thistime
3.85,78,thistime
4.433,79,thistime
4.3,73,thistime
4.467,77,thistime
3.367,66,thistime
4.033,80,thistime
3.833,74,thistime
2.017,52,thistime
1.867,48,thistime
4.833,80,thistime
1.833,59,thistime
4.783,90,thistime
4.35,80,thistime
1.883,58,thistime
4.567,84,thistime
1.75,58,thistime
4.533,73,thistime
3.317,83,thistime
3.833,64,thistime
2.1,53,thistime
4.633,82,thistime
2,59,thistime
4.8,75,thistime
4.716,90,thistime
1.833,54,thistime
4.833,80,thistime
1.733,54,thistime
4.883,83,thistime
3.717,71,thistime
1.667,64,thistime
4.567,77,thistime
4.317,81,thistime
2.233,59,thistime
4.5,84,thistime
1.75,48,thistime
4.8,82,thistime
1.817,60,thistime
4.4,92,thistime
4.167,78,thistime
4.7,78,thistime
2.067,65,thistime
4.7,73,thistime
4.033,82,thistime
1.967,56,thistime
4.5,79,thistime
4,71,thistime
1.983,62,thistime
5.067,76,thistime
2.017,60,thistime
4.567,78,thistime
3.883,76,thistime
3.6,83,thistime
4.133,75,thistime
4.333,82,thistime
4.1,70,thistime
2.633,65,thistime
4.067,73,thistime
4.933,88,thistime
3.95,76,thistime
4.517,80,thistime
2.167,48,thistime
4,86,thistime
2.2,60,thistime
4.333,90,thistime
1.867,50,thistime
4.817,78,thistime
1.833,63,thistime
4.3,72,thistime
4.667,84,thistime
3.75,75,thistime
1.867,51,thistime
4.9,82,thistime
2.483,62,thistime
4.367,88,thistime
2.1,49,thistime
4.5,83,thistime
4.05,81,thistime
1.867,47,thistime
4.7,84,thistime
1.783,52,thistime
4.85,86,thistime
3.683,81,thistime
4.733,75,thistime
2.3,59,thistime
4.9,89,thistime
4.417,79,thistime
1.7,59,thistime
4.633,81,thistime
2.317,50,thistime
4.6,85,thistime
1.817,59,thistime
4.417,87,thistime
2.617,53,thistime
4.067,69,thistime
4.25,77,thistime
1.967,56,thistime
4.6,88,thistime
3.767,81,thistime
1.917,45,thistime
4.5,82,thistime
2.267,55,thistime
4.65,90,thistime
1.867,45,thistime
4.167,83,thistime
2.8,56,thistime
4.333,89,thistime
1.833,46,thistime
4.383,82,thistime
1.883,51,thistime
4.933,86,thistime
2.033,53,thistime
3.733,79,thistime
4.233,81,thistime
2.233,60,thistime
4.533,82,thistime
4.817,77,thistime
4.333,76,thistime
1.983,59,thistime
4.633,80,thistime
2.017,49,thistime
5.1,96,thistime
1.8,53,thistime
5.033,77,thistime
4,77,thistime
2.4,65,thistime
4.6,81,thistime
3.567,71,thistime
4,70,thistime
4.5,81,thistime
4.083,93,thistime
1.8,53,thistime
3.967,89,thistime
2.2,45,thistime
4.15,86,thistime
2,58,thistime
3.833,78,thistime
3.5,66,thistime
4.583,76,thistime
2.367,63,thistime
5,88,thistime
1.933,52,thistime
4.617,93,thistime
1.917,49,thistime
2.083,57,thistime
4.583,77,thistime
3.333,68,thistime
4.167,81,thistime
4.333,81,thistime
4.5,73,thistime
2.417,50,thistime
4,85,thistime
4.167,74,thistime
1.883,55,thistime
4.583,77,thistime
4.25,83,thistime
3.767,83,thistime
2.033,51,thistime
4.433,78,thistime
4.083,84,thistime
1.833,46,thistime
4.417,83,thistime
2.183,55,thistime
4.8,81,thistime
1.833,57,thistime
4.8,76,thistime
4.1,84,thistime
3.966,77,thistime
4.233,81,thistime
3.5,87,thistime
4.366,77,thistime
2.25,51,thistime
4.667,78,thistime
2.1,60,thistime
4.35,82,thistime
4.133,91,thistime
1.867,53,thistime
4.6,78,thistime
1.783,46,thistime
4.367,77,thistime
3.85,84,thistime
1.933,49,thistime
4.5,83,thistime
2.383,71,thistime
4.7,80,thistime
1.867,49,thistime
3.833,75,thistime
3.417,64,thistime
4.233,76,thistime
2.4,53,thistime
4.8,94,thistime
2,55,thistime
4.15,76,thistime
1.867,50,thistime
4.267,82,thistime
1.75,54,thistime
4.483,75,thistime
4,78,thistime
4.117,79,thistime
4.083,78,thistime
4.267,78,thistime
3.917,70,thistime
4.55,79,thistime
4.083,70,thistime
2.417,54,thistime
4.183,86,thistime
2.217,50,thistime
4.45,90,thistime
1.883,54,thistime
1.85,54,thistime
4.283,77,thistime
3.95,79,thistime
2.333,64,thistime
4.15,75,thistime
2.35,47,thistime
4.933,86,thistime
2.9,63,thistime
4.583,85,thistime
3.833,82,thistime
2.083,57,thistime
4.367,82,thistime
2.133,67,thistime
4.35,74,thistime
2.2,54,thistime
4.45,83,thistime
3.567,73,thistime
4.5,73,thistime
4.15,88,thistime
3.817,80,thistime
3.917,71,thistime
4.45,83,thistime
2,56,thistime
4.283,79,thistime
4.767,78,thistime
4.533,84,thistime
1.85,58,thistime
4.25,83,thistime
1.983,43,thistime
2.25,60,thistime
4.75,75,thistime
4.117,81,thistime
2.15,46,thistime
4.417,90,thistime
1.817,46,thistime
4.467,74,thistime
